Etr,Er1,Er2,Etrp,Er1p,Er2p
1281.8466841617387,286.02792501024464,1362.4855161907315,1427.4316643309762,799.6888200838155,703.2396409479231
1817.0431101414397,1117.4802272777783,1502.5485661257867,2288.4653817095345,2135.0570861905367,13.54943564493368
1506.1807659628087,280.06984823434885,182.35401438493267,1658.9317952061103,155.21321598409347,154.45961739188647
491.86859286773637,1784.9558405382354,133.4155018709481,1310.6470339575822,10.507693049125605,1089.085208270212
57.369665213038914,277.4237486962535,35.62032742553326,273.8367842155374,11.579607219063645,84.9973499002246
3133.6444862413946,90.15095326805707,81.57422101340336,2287.668038536871,1005.9959896069398,11.705632379044317
756.9577496273022,1846.138825864312,1615.6389640624568,1656.0245123746904,1306.2204769768282,1256.4905502025522
1859.877579823297,5304.569193399588,4480.459213581816,8031.180343127201,1862.60283822241,1751.12280545509
658.9685633953856,736.2196683937256,794.2343787973067,803.2011981048446,1043.0083368436149,343.21307563795807
13096.1322332419,826.2931344763842,272.34997854525795,4096.877194066448,8035.791747810845,2062.1064043862507
2450.6377945927507,195.07906377090225,110.34905602352673,1084.304288847021,319.269964705397,1352.4916608347614
1360.9805040173192,815.4968420591588,67.19413607299994,1003.4458821221874,674.9141159074085,565.311484119882
370.76155137036824,76.51351086570082,24.60466498668336,415.7859535253111,28.411186325726103,27.682587371715247
728.5735234653299,45.25058036020088,722.4016128499279,708.9872884786669,181.14884943505413,606.0895787617377
1604.1212058790613,101.05115347694829,9713.24565677359,8874.139118351879,225.62848628769996,2318.6504114900204
2317.95943387897,130.30860662830656,252.30810620357613,689.0979524146838,1555.4127295006033,456.0654647955653
7.92525622620721,20.33886217136037,28.090996704573854,37.5122265385337,14.952983861199192,3.8899047024085363
6150.761381668405,388.82615130461795,121.15527024919565,5498.22064421181,499.6878208520485,662.8343381583595
1370.713561288735,936.0568342065503,169.7921744577633,1836.01137430437,493.9832017694646,146.5679938792141
2220.817382841027,5491.555389449139,1488.0526744251397,3972.5993398182964,664.7912023351464,4563.034904561863
2366.5377811006047,67.46432858097288,33.66721462710515,2341.507365770905,117.21937208930092,8.942586448476517
229.24914596902914,34.448603311330146,53.22698096651739,111.66770921657641,34.858196221235225,170.39882480906505
75.23369671331547,54.204022724705226,255.80104650131761,194.93181885824833,43.57041492737297,146.73653215371698
3218.6495145476665,362.8383254548391,140.13088243650944,2122.395343850954,216.24230853968558,1382.9810700483756
1879.7153354178977,404.1670641019581,941.0641778588963,2876.180473006528,200.15087118261005,148.615233189614
48.85279957581033,207.21945916883294,31.930224402081173,196.70917345856182,36.13485604155325,55.15845364660936
880.8080142823029,237.8197409303245,23.176156129609712,449.3246959924455,197.5439035260584,494.93531182373323
14.181664329381952,193.3863328424781,383.73873053341777,364.0771706077678,18.929264165066446,208.3002929324435
37.76075038569482,288.39962048694827,174.2027747773148,64.87966159518253,87.2122583254639,348.2712257293115
192.23027044985668,122.1432270699847,110.14194510229564,388.1708211701721,2.021578021505338,34.3230434304596
2540.8391843014497,284.9666177212983,291.86912209080555,823.6241764362144,2156.2205063766123,137.83024130072667
28.73470088718597,42.57661930842111,48.15549245723569,71.17226357414467,19.86806341103156,28.426485667666533
1318.203027695935,358.59423126700904,153.59180219188477,1458.379148492982,321.79671723702444,50.21319542482242
390.2883989689525,329.99332657933155,1075.8847331472766,963.0951907164296,599.9679814510221,233.10328652810915
803.4959908919413,80.51177699534281,226.42738515060753,785.2246811924781,8.40462550163999,316.8058463437737
2922.077252961553,1203.9044994652609,1636.271132588733,997.7784713495514,4494.246662576674,270.2277510893217
3639.6013401532937,652.4274857981818,528.4386964370763,641.7526321161783,3419.4449288993005,759.2699613730726
539.2322231294077,118.36078201324013,376.38570953180306,484.4596910975308,245.41148349778902,304.107540079131
1585.7730296919578,5052.190408097799,1651.6004405081871,2501.2497783881345,1351.8443083824236,4436.469791527386
4852.5359100845435,1085.7938157820627,1657.1022590850216,4769.7849092725255,2754.1050287329126,71.54204694618983
